2026-05-20 15:11:22,586 INFO    MainThread:2173280 [wandb_setup.py:_flush():76] Configure stats pid to 2173280
2026-05-20 15:11:22,587 INFO    MainThread:2173280 [wandb_setup.py:_flush():76] Loading settings from /home/txuan/.config/wandb/settings
2026-05-20 15:11:22,587 INFO    MainThread:2173280 [wandb_setup.py:_flush():76] Loading settings from /home/txuan/ARiADNE/wandb/settings
2026-05-20 15:11:22,587 INFO    MainThread:2173280 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2026-05-20 15:11:22,587 INFO    MainThread:2173280 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2026-05-20 15:11:22,587 INFO    MainThread:2173280 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'driver.py', 'program': '/home/txuan/ARiADNE/driver.py'}
2026-05-20 15:11:22,587 INFO    MainThread:2173280 [wandb_init.py:_log_setup():506] Logging user logs to train/ae_clean/wandb/run-20260520_151122-l2hhl82y/logs/debug.log
2026-05-20 15:11:22,587 INFO    MainThread:2173280 [wandb_init.py:_log_setup():507] Logging internal logs to train/ae_clean/wandb/run-20260520_151122-l2hhl82y/logs/debug-internal.log
2026-05-20 15:11:22,587 INFO    MainThread:2173280 [wandb_init.py:init():546] calling init triggers
2026-05-20 15:11:22,587 INFO    MainThread:2173280 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'REPLAY_SIZE': 10000, 'MINIMUM_BUFFER_SIZE': 2000, 'BATCH_SIZE': 128, 'INPUT_DIM': 7, 'EMBEDDING_DIM': 128, 'NODE_PADDING_SIZE': 360, 'K_SIZE': 20, 'USE_GPU': False, 'USE_GPU_GLOBAL': True, 'NUM_GPU': 1, 'NUM_META_AGENT': 32, 'LR': 1e-05, 'GAMMA': 1, 'DECAY_STEP': 256, 'SUMMARY_WINDOW': 32, 'FOLDER_NAME': 'ae_clean', 'LOAD_MODEL': False, 'SAVE_IMG_GAP': 100, 'ARCHIVE_CHECKPOINT_START_EPISODE': 8000, 'ARCHIVE_CHECKPOINT_GAP': 2000, 'USE_WANDB': True, 'WANDB_PROJECT': 'ARiADNE', 'WANDB_ENTITY': None, 'WANDB_MODE': 'online', 'model_path': 'model/ae_clean', 'train_path': 'train/ae_clean', 'gifs_path': 'gifs/ae_clean'}
2026-05-20 15:11:22,587 INFO    MainThread:2173280 [wandb_init.py:init():602] starting backend
2026-05-20 15:11:22,587 INFO    MainThread:2173280 [wandb_init.py:init():606] setting up manager
2026-05-20 15:11:22,588 INFO    MainThread:2173280 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2026-05-20 15:11:22,589 INFO    MainThread:2173280 [wandb_init.py:init():613] backend started and connected
2026-05-20 15:11:22,592 INFO    MainThread:2173280 [wandb_init.py:init():701] updated telemetry
2026-05-20 15:11:22,595 INFO    MainThread:2173280 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2026-05-20 15:11:26,552 INFO    MainThread:2173280 [wandb_run.py:_on_init():2131] communicating current version
2026-05-20 15:11:28,653 INFO    MainThread:2173280 [wandb_run.py:_on_init():2140] got version response upgrade_message: "wandb version 0.27.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2026-05-20 15:11:28,653 INFO    MainThread:2173280 [wandb_init.py:init():789] starting run threads in backend
2026-05-20 15:11:29,493 INFO    MainThread:2173280 [wandb_run.py:_console_start():2112] atexit reg
2026-05-20 15:11:29,493 INFO    MainThread:2173280 [wandb_run.py:_redirect():1967] redirect: SettingsConsole.WRAP_RAW
2026-05-20 15:11:29,493 INFO    MainThread:2173280 [wandb_run.py:_redirect():2032] Wrapping output streams.
2026-05-20 15:11:29,493 INFO    MainThread:2173280 [wandb_run.py:_redirect():2057] Redirects installed.
2026-05-20 15:11:29,493 INFO    MainThread:2173280 [wandb_init.py:init():831] run started, returning control to user process
2026-05-21 15:16:48,225 INFO    MainThread:2173280 [wandb_run.py:_finish():1852] finishing run 1504453152-central-south-university/ariadne/l2hhl82y
2026-05-21 15:16:48,225 INFO    MainThread:2173280 [wandb_run.py:_atexit_cleanup():2081] got exitcode: 0
2026-05-21 15:16:48,225 INFO    MainThread:2173280 [wandb_run.py:_restore():2064] restore
2026-05-21 15:16:48,225 INFO    MainThread:2173280 [wandb_run.py:_restore():2070] restore done
2026-05-21 15:17:16,109 INFO    MainThread:2173280 [wandb_run.py:_footer_history_summary_info():3429] rendering history
2026-05-21 15:17:16,110 INFO    MainThread:2173280 [wandb_run.py:_footer_history_summary_info():3461] rendering summary
2026-05-21 15:17:16,111 INFO    MainThread:2173280 [wandb_run.py:_footer_sync_info():3387] logging synced files
